longitude,latitude,Name,ACCESS_ID,ACCESS_LOC,ACESS_TYPE,BIKE_RACK,BWC_Info,BeachMat,BeachWheelchair,CAMA_SIGN,COMMENT_,CONTRACT_NUM,CONTRACT_YR,COUNTY,DCM_Funded,DCM_RO,DUNE_WALK,Field Name,HAND_BEACH,HAND_DUNE,HAND_OVRLK,HAND_PRKG,KayakCanoeLaunch,LOCL_SPONS,Land_Status,NCDCM_ID,NEAR_DIST,NEAR_FID,OVERLOOK,PARKING,PARKING_OPTIONS,PHOTO,PIC_TABLE,PLACE,PRKG_COMMENTS,PRK_FEE,PaidParkURL,RESTRM,SHOWER,SURV_DATE,VEH_ACCESS,WaterAccessTYPE
-76.72012261,34.71875914,Morehead City,South 13th Street Water Access,South 13th Street & Shackleford Street,Shoreline,0,n/a,,0,0,Boardwalk and dock,,,Carteret,0,Morehead City Regional Office,0,Field Value,0,0,0,0,0,Morehead City,Municipality,,461.976217,755,1,0,On-Street Parking,,0,Morehead City,,,n/a,0,0,9/7/17,No,Estuarine
-76.93399361,34.67947095,Emerald Isle,EI-71,Ocean Dr. and 14th St.,Beach,1,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,0,0,0,0,0,,Municipality,446,545.280574,116,0,0,No Parking,EI40.png,0,Emerald Isle,,,n/a,0,0,5/2/03,No,Ocean
-76.2183218,36.30100489,Elizabeth City,Vetrans Park,222 North Water Street,Shoreline,0,n/a,,0,1,Boardwalk,,,Pasquotank,1,Elizabeth City Regional Office,0,Field Value,0,0,0,0,0,Elizabeth City,Municipality,,531.04715,675,0,0,On-Street Parking,,0,Elizabeth City,,,n/a,0,0,5/14/19,No,Estuarine
-78.0910369,33.90600632,Oak Island,SE 74th Street,SE 74th and E Beach Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,1,1,0,Doggie Box,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,0,0,,0,Oak Island,Municipality,162,306.605121,381,0,7,Onsite Parking,Neighborhood.png,0,Oak Island,,0,n/a,0,0,21:08.8,No,Ocean
-77.88700836,34.04903479,Carolina Beach,Starfish Lane Soundside,Starfish Lane and Canal Drive,Beach,1,https://www.carolinabeach.org/government/departments/parks-recreation/beach-wheelchairs,0,1,1,Sound Access,,,New Hanover,1,Wilmington Regional Office,1,Field Value,0,1,0,,0,Carolina Beach,Municipality,596,331.017551,389,0,1,Both Parking Options,Local.png,0,Carolina Beach,,1,https://www.carolinabeach.org/visitors/parking,0,0,3/8/94,No,Ocean
-77.53653936,34.43053598,Surf City,Beach Access #13,510 N. Shore Dr.,Beach,0,https://www.surfcitync.gov/2413/Beach-Wheelchairs,,1,1,Access point for beach wheelchairs.,,,Pender,0,Wilmington Regional Office,1,Field Value,0,0,0,,0,Surf City,Municipality,82,248.697588,855,0,13,Onsite Parking,Neighborhood.png,0,Surf City,15 parking spots across the street,1,https://www.surfcitync.gov/2425/Beach-Parking,1,0,20:53.1,No,Ocean
-77.44649441,34.48011042,North Topsail Beach,Beach Access #31,4104 Island Dr,Beach,0,https://www.ntbnc.org/_files/ugd/e4899e_ed33ab4a6e3447c6b025bdf7a4ad346e.pdf,,1,,,,,Onslow,1,Wilmington Regional Office,1,Field Value,0,0,0,,0,,Municipality,,610.471084,315,0,100,Onsite Parking,,0,North Topsail Beach,,1,https://www.northtopsailbeachnc.gov/beach-accesses,0,0,1/25/24,No,Ocean
-77.54278046,34.42831044,Surf City,Public Parking,214 N New River Dr,,0,https://www.surfcitync.gov/2413/Beach-Wheelchairs,,1,1,Nearest access site is at 300 N Shore Dr,,,Pender,0,Wilmington Regional Office,1,Field Value,,,,,0,Surf City,Municipality,106,438.060532,141,,40,Onsite Parking,Neighborhood.png,0,Surf City,Paved parking lot,1,https://www.surfcitync.gov/2425/Beach-Parking,,,8/11/21,,Parking Lot
-76.89900679,34.68599233,Indian Beach,Ocean Club Neighborhood Beach Access,Salter Path Rd MM 11 1/2,Beach,1,n/a,,0,1,,BA04-008,2003-2004,Carteret,1,MHC,1,Field Value,,,,1,0,Indian Beach,Municipality,,2222.12565,449,,9,Onsite Parking,,0,Indian Beach,Parking is north of Hwy 58,0,n/a,0,0,3/31/21 13:26,No,Ocean
-75.604903,35.915243,Nags Head,Harvey Sound Access,6912 Croatan Highway,Shoreline,0,http://nagsheadnc.gov/309/Public-Beach-Accesses,,1,0,picnic pavilion - grills,,,Dare,1,Elizabeth City Regional Office,0,Field Value,0,0,0,2,1,Town of Nags Head,Municipality,1062,1266.795727,344,0,35,Onsite Parking,ecity_nh_harvey_190.png,1,Nags Head,,0,n/a,1,1,12/19/07,,Estuarine
-75.64408315,35.99287733,Nags Head,Albatross Street,S. Virginia Dare Trail and Albatross Street,Beach,1,http://nagsheadnc.gov/309/Public-Beach-Accesses,,1,0,,,,Dare,1,Elizabeth City Regional Office,1,Field Value,0,0,0,,0,Town of Nags Head,Municipality,1181,647.087865,778,0,8,Onsite Parking,ecity_nh_albatross_146.png,0,Nags Head,,0,n/a,0,0,12/13/07,No,Ocean
-78.14792027,33.91373066,Oak Island,14th Place East,14th Pl E & E Beach Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,0,Doggie Box,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,0,0,,0,Oak Island,Municipality,187,781.627206,668,0,5,Both Parking Options,Neighborhood.png,0,Oak Island,Additional parking across the street.,0,n/a,0,0,21:08.8,No,Ocean
-77.88208613,34.05759284,Carolina Beach,Canal Dr,"1800, 1808, 1810 Canal Dr",Beach,0,https://www.carolinabeach.org/government/departments/parks-recreation/beach-wheelchairs,0,1,1,,CW45446/100331,2023-24,New Hanover,1,WILM,0,Field Value,0,0,0,2,0,Carolina Beach,Municipality,,,,0,20,Onsite Parking,,0,Carolina Beach,,1,https://www.carolinabeach.org/visitors/parking,0,0,31:03.8,No,Ocean
-78.08290772,33.9044064,Oak Island,Barbee Blvd,Barbee and Ocean Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,0,Doggie Box,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,0,0,,0,Oak Island,Municipality,154,351.610086,872,0,40,Both Parking Options,Neighborhood.png,1,Oak Island,Additional parking on Barbee Blvd,0,n/a,1,1,21:08.8,No,Ocean
-77.79269874,34.21003195,Wrightsville Beach,24,Charlotte St,Beach,0,https://www.townofwrightsvillebeach.com/321/Accessibility,,1,1,,,,New Hanover,0,WILM,0,Field Value,0,0,0,0,0,Wrightsville Beach,Municipality,31,240.726854,30,0,0,On-Street Parking,WB24.png,0,Wrightsville Beach,,,n/a,0,0,57:23.1,,Ocean
-77.03736685,35.10292468,New Bern,Waterfront Promenade,New Bern Waterfront,Shoreline,0,,0,0,0,,BA00-12,2000,Craven,1,MHC,0,Field Value,0,0,0,0,0,New Bern,Municipality,,716.351882,225,0,0,On-Street Parking,,0,New Bern,,0,,0,0,06:25.0,No,Estuarine
-75.723169,35.927793,Dare County,Freedmens Colony Road Access,Freedmens Colony Road,Shoreline,1,n/a,,0,0,"terminus of 8.8 mile multi-use path - 2 handicapped and 23 regular parking spaces, restroom facility and picnic tables located 1,300 feet to the northeast at North End Park",,,Dare,0,Elizabeth City Regional Office,0,Field Value,0,0,0,,0,NPS,Federal,1037,213.479599,577,0,20,Onsite Parking,ecity_dare_freedmenscolony_056.png,1,Dare County,Unmarked Parking,0,n/a,0,0,1/31/08,,Estuarine
-75.68384805,36.02955761,Kill Devil Hills,W. Third Street Estuarine Access,W. Third Street and Bay Drive,Shoreline,1,https://www.kdhnc.com/257/Ocean-Rescue-Division,,1,1,overlook with gazebo - benches,,,Dare,1,Elizabeth City Regional Office,0,Field Value,0,0,0,,0,Town of Kill Devil Hills,Municipality,1162,4606.732978,716,0,,No Parking,ecity_kdh_wthird_124.png,0,Kill Devil Hills,,,n/a,0,0,12/13/07,,Estuarine
-78.41207953,33.8936119,Ocean Isle Beach,Chadbourn Access,East First Street and Chadbourn Street,Beach,0,https://www.oibgov.com/pview.aspx?id=20773&catid=0,,1,1,,,,Brunswick,1,WILM,1,Field Value,0,0,0,,0,Ocean Isle Beach,Municipality,370,1098.349334,562,0,25,Both Parking Options,OC56.png,0,Ocean Isle Beach,https://www.oibgov.com/20698/Public-Beach-Access,0,n/a,0,0,8/11/21 10:19,No,Ocean
-78.09525854,33.90679197,Oak Island,SE 70th Street,SE 70th and E Beach Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,1,Doggie Box,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,0,0,,0,Oak Island,Municipality,166,300.662203,612,0,8,Onsite Parking,Neighborhood.png,0,Oak Island,,0,n/a,0,0,21:08.8,E,Ocean
-77.44464655,34.48079762,North Topsail Beach,Beach Access #32,4106 Island Drive,Beach,0,https://www.ntbnc.org/_files/ugd/e4899e_ed33ab4a6e3447c6b025bdf7a4ad346e.pdf,,1,1,,,,Onslow,0,Wilmington Regional Office,1,Field Value,0,0,0,0,0,,Municipality,229,610.471084,802,0,0,No Parking,Local.png,0,North Topsail Beach,,,n/a,0,0,1/25/24,,Ocean
-78.51366177,33.86659956,Sunset Beach,36th Street,36th Street,Beach,0,https://www.sunsetbeachnc.gov/vertical/sites/%7BA2C1D077-15B6-49E5-B8FD-53D65FA0DC5D%7D/uploads/2022_Surf_Chair-Walker_Letter_and_Agreement.pdf,,1,1,,,,Brunswick,0,Wilmington Regional Office,1,Field Value,0,0,0,,0,Sunset Beach,Municipality,127,209.858074,281,0,,On-Street Parking,SB30.png,0,Sunset Beach,,0,n/a,0,0,11/8/03,,Ocean
-77.05296013,34.65702907,Emerald Isle,NA,Reed Dr. and Janell Ln.,Beach,0,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,0,Field Value,0,0,0,0,0,,Municipality,535,1039.619228,168,0,0,No Parking,EI215.png,0,Emerald Isle,,,n/a,0,0,5/2/03,No,Ocean
-77.0181748,34.66487564,Emerald Isle,EI-29,Ocean Dr. and Tracy Dr.,Beach,0,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,0,0,0,0,0,,Municipality,541,550.317125,176,1,0,No Parking,EI80.png,0,Emerald Isle,,,n/a,0,0,5/2/03,No,Ocean
-76.91058913,34.68289741,Emerald Isle,EI-84,Ocean Dr. and 1st St.,Beach,0,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,0,0,0,0,0,,Municipality,455,561.37795,422,0,0,No Parking,EI30.png,0,Emerald Isle,,,n/a,0,0,5/2/03,No,Ocean
-76.92319994,34.68105505,Emerald Isle,EI-77,Ocean Dr. and 8th St.,Beach,0,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,0,0,0,0,0,,Municipality,452,544.890467,416,0,0,No Parking,EI34.png,0,Emerald Isle,,,n/a,0,0,5/2/03,No,Ocean
-75.95401252,35.10822836,Ocracoke,Ocracoke Beach,2188 Irvin Garrish Hwy,Beach,0,n/a,,0,0,ORV Permit Required from the National Park Service,n/a,n/a,Hyde,0,Morehead City Regional Office,1,Field Value,1,1,1,4,0,NPS,Federal,,11377.55702,763,1,100,Onsite Parking,,0,Ocracoke,,0,n/a,1,1,3/7/18,No,Ocean
-76.90711437,34.68363266,Indian Beach,1829 Salter Path Rd,1829 Salter Path Rd,Beach,0,n/a,,0,0,,,,Carteret,1,Morehead City Regional Office,1,Field Value,0,0,0,1,0,Indian Beach,Municipality,,1078.334791,424,0,14,Onsite Parking,,0,Indian Beach,,0,n/a,0,0,26:20.0,No,Ocean
-75.61784467,35.94631036,Nags Head,Small Street,S. Virginia Dare Trail and Small Street,Beach,0,http://nagsheadnc.gov/309/Public-Beach-Accesses,,1,1,,,,Dare,0,Elizabeth City Regional Office,0,Field Value,1,0,0,0,0,Town of Nags Head,Municipality,1194,1548.214063,327,0,14,Parking off-site,ecity_nh_small_160.png,0,Nags Head,14 unmarked parking spaces one block south on west,,n/a,0,0,3/6/18,,Ocean
-77.35409954,34.74421745,Jacksonville,Northeast Creek Park,Northeast Creek Park Road,Shoreline,0,n/a,,0,1,Creek Access Boatramp,,,Onslow,1,Morehead City Regional Office,1,Field Value,0,1,1,,0,Jacksonville,Municipality,604,21755.43994,523,1,50,Both Parking Options,waterfront.png,1,Jacksonville,,0,n/a,0,0,6/7/94,No,Estuarine
-75.66952949,36.03454592,Kill Devil Hills,Third Street Ocean Access,E. Third Street and North Virginia Dare Trail,Beach,1,https://www.kdhnc.com/257/Ocean-Rescue-Division,,1,0,,,,Dare,1,Elizabeth City Regional Office,1,Field Value,0,0,0,0,0,Town of Kill Devil Hills,Municipality,1143,987.196471,715,0,0,No Parking,ecity_kdh_ethird_101.png,0,Kill Devil Hills,,,n/a,0,1,12/5/07,E,Ocean
-77.99167908,33.8538528,Bald Head Island,Public Beach Access #21,North end of Silversides Trail off of South Bald Head Wynd,Beach,0,https://live-village-bhi.pantheonsite.io/departments-services/public-safety/beach-wheelchair-information/,,1,0,,,,Brunswick,0,Wilmington Regional Office,1,Field Value,0,0,0,0,0,Bald Head Island,Municipality,335,493.925249,467,0,0,No Parking,BH15.png,0,Bald Head Island,,,n/a,0,0,8/9/21 10:36,,Ocean
-77.90413663,34.00303797,Kure Beach,N Avenue/Beach Access #344,343 Atlantic Avenue,Beach,0,https://www.townofkurebeach.org/beach-wheelchairs,,1,1,,,,New Hanover,1,Wilmington Regional Office,1,Field Value,0,1,1,1,0,,Municipality,397,366.766366,76,1,10,Both Parking Options,Neighborhood.png,0,Kure Beach,,1,https://www.townofkurebeach.org/parking,0,0,12/10/24,E,Ocean
-76.25398345,35.91605366,Columbia,Scuppernong River Boardwalk at Pocosin Lakes NWR Visitor Center,205 South Ludington Drive,Shoreline,0,n/a,,0,0,site access from bridge sidewalk - pier - gazebo - grills - tent camping area,,,Tyrrell,1,Washington Regional Office,0,Field Value,0,0,0,,0,USFWS / Town of Columbia,Municipality,1233,509.439388,621,0,,Onsite Parking,wash_columb_scupprvrbrdwlk_006.JPG,1,Columbia,Parking on east side of bridge,0,n/a,0,0,5/15/18,No,Estuarine
-78.0310125,33.89167248,Caswell Beach,Bill Boyd Way,Between 201 & 121 Caswell Beach Rd,Beach,0,,,,1,,S06089,,Brunswick,1,WILM,1,Field Value,,,,0,0,Caswell Beach,Municipality,,863.487404,781,1,0,No Parking,,0,Caswell Beach,,,n/a,0,0,7/11/22 17:06,No,Ocean
-78.39799091,33.89698517,Ocean Isle Beach,Durham St,E 2nd St & Durham St,Beach,0,https://www.oibgov.com/pview.aspx?id=20773&catid=0,,1,1,Handicap access to gazebo only,,,Brunswick,1,WILM,1,Field Value,0,0,1,,0,Ocean Isle Beach,Municipality,,544.8706,551,1,2,Onsite Parking,,0,Ocean Isle Beach,https://www.oibgov.com/20698/Public-Beach-Access,,n/a,0,0,8/11/21 9:39,No,Ocean
-75.60155812,35.91741274,Nags Head,Grouse Street,S. Virginia Dare Trail and Grouse Street,Beach,0,http://nagsheadnc.gov/309/Public-Beach-Accesses,,1,1,,,,Dare,0,Elizabeth City Regional Office,0,Field Value,0,0,0,0,0,Town of Nags Head,Municipality,1200,853.026851,347,0,0,No Parking,ecity_nh_grouse_166.png,0,Nags Head,,,n/a,0,0,3/6/18,,Ocean
-78.21123413,33.91397284,Oak Island,54th Place West,54th W Beach Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,0,Doggie Box,,,Brunswick,1,Wilmington Regional Office,1,Field Value,0,0,0,,0,Oak Island,Municipality,210,799.104071,700,0,14,Onsite Parking,Neighborhood.png,0,Oak Island,,0,n/a,0,0,21:08.8,No,Ocean
-78.06134463,33.89927961,Caswell Beach,Bob Spake Way,800 Caswell Beach Rd,Beach,0,,,,1,,S07003,,Brunswick,1,WILM,1,Field Value,1,1,1,0,0,Caswell Beach,Municipality,,1078.208956,864,1,0,No Parking,,1,Caswell Beach,,,n/a,0,0,7/11/22 17:22,No,Ocean
-77.9222757,33.96463208,Kure Beach,Fort Fisher Aquarium,Loggerhead Road,Beach,0,https://www.townofkurebeach.org/beach-wheelchairs,,1,1,,,,New Hanover,1,Wilmington Regional Office,1,Field Value,0,1,1,,0,New Hanover County,STATE-NCDCR,590,4593.977907,91,1,200,Both Parking Options,OD120.png,0,Kure Beach,,1,https://www.townofkurebeach.org/parking,1,1,12/10/24,,Ocean
-77.51860953,34.44106041,Surf City,Beach Access # 5 (Broadway Ave),1700 N Shore Dr,Beach,1,https://www.surfcitync.gov/2413/Beach-Wheelchairs,,1,1,,,,Onslow,1,Wilmington Regional Office,1,Field Value,0,0,0,,0,Surf City,Municipality,76,617.518946,131,0,34,Onsite Parking,Regional.png,0,Surf City,,0,n/a,1,1,8/11/21,No,Ocean
-77.08026554,35.13786229,New Bern,Martin Marietta Park,700 South Glenburnie Road,Shoreline,0,n/a,,0,1,Kayak/Canoe Launches include EZ Dock Launch and Soft Beach Launch. Picnic Shelter with grills.,7772,2017-18,Craven,1,Morehead City Regional Office,0,Field Value,0,0,1,2,1,New Bern,Municipality,,14649.29508,789,1,32,Onsite Parking,,1,New Bern,,0,n/a,1,0,06:25.7,No,Estuarine
-75.66018156,36.0200392,Kill Devil Hills,Ferris Avenue Ocean Access,Ferris Avenue and North Virginia Dare Trail,Beach,1,https://www.kdhnc.com/257/Ocean-Rescue-Division,,1,1,,7384,2017-18,Dare,1,Elizabeth City Regional Office,1,Field Value,0,1,1,2,0,Town of Kill Devil Hills,Municipality,1149,264.092991,721,1,38,Both Parking Options,ecity_kdh_ferris_108.png,0,Kill Devil Hills,,0,n/a,0,1,4/11/19,,Ocean
-77.99480609,33.85491824,Bald Head Island,Public Beach Access #19,North end of Sandspur Trail off of South Bald Head Wynd,Beach,1,https://live-village-bhi.pantheonsite.io/departments-services/public-safety/beach-wheelchair-information/,,1,0,,,,Brunswick,0,Wilmington Regional Office,1,Field Value,0,0,0,0,0,Bald Head Island,Municipality,333,532.174294,467,0,0,No Parking,BH12.png,0,Bald Head Island,,,n/a,0,0,8/9/21 10:36,No,Ocean
